Date,F,CAT,DIS,MCD,KO,PEP,WMT,C,WFC,JPM,AAPL,IBM,PFE,JNJ,XOM,MRO,ED,T,VZ,NEM
2004-12,9.074139595031738,30.90559959411621,22.57146644592285,19.752511978149414,12.348752975463867,32.47959899902344,36.38349151611328,340.3494567871094,19.079713821411133,24.42786407470703,0.9832708239555359,57.603485107421875,12.782641410827637,38.64749526977539,28.727121353149414,7.876060962677002,20.32063102722168,5.4025983810424805,15.850191116333008,33.623897552490234
2005-01,8.225178718566895,28.36419677734375,23.24536895751953,19.95583152770996,12.304271697998047,33.41292953491211,36.094181060791016,346.49530029296875,18.818769454956055,23.58064842224121,1.17412269115448,54.58830642700195,11.484889030456543,39.42751693725586,28.91765594482422,8.11060905456543,20.376367568969727,5.066373825073242,14.060425758361816,31.488794326782227
2005-02,7.90041971206665,30.258319854736328,22.685134887695312,20.38094139099121,12.692766189575195,33.51247787475586,35.55001449584961,340.11224365234375,18.372037887573242,23.087934494018555,1.3698610067367554,54.200687408447266,12.591053009033203,40.14900207519531,35.65394592285156,9.979111671447754,20.11319923400879,5.130342960357666,14.210552215576172,34.070594787597656
2005-03,7.076027870178223,29.10910415649414,23.32655906677246,19.185684204101562,12.438511848449707,33.137603759765625,34.61854553222656,320.2986145019531,18.501985549926758,21.85616111755371,1.2724498510360718,53.498130798339844,12.581475257873535,41.103759765625,33.564605712890625,9.890578269958496,19.845033645629883,5.051448345184326,14.024871826171875,32.05976104736328
2005-04,5.750465393066406,28.161087036132812,21.43478012084961,18.058204650878906,12.96685791015625,34.76854705810547,32.56671142578125,337.8551025390625,18.545297622680664,22.64313507080078,1.1011408567428589,44.7164306640625,13.012510299682617,42.003440856933594,32.11727523803711,9.816801071166992,20.362567901611328,5.166196823120117,14.30535888671875,28.81204605102539
2005-05,6.299630165100098,30.099245071411133,22.2791748046875,19.062469482421875,13.322073936462402,35.15597152709961,32.733360290527344,338.93426513671875,18.840715408325195,22.809019088745117,1.2141255140304565,44.347999572753906,13.454550743103027,41.26835632324219,31.811052322387695,10.285045623779297,21.68404769897461,5.07503080368042,14.13753604888916,28.33574104309082
2005-06,6.463751792907715,30.48305320739746,20.444229125976562,17.09707260131836,12.542298316955566,33.857486724853516,33.405635833740234,332.6031188964844,19.20562171936035,22.534664154052734,1.1240434646606445,43.555538177490234,13.300230979919434,39.9767951965332,32.52992248535156,11.320124626159668,22.3177490234375,5.155345916748047,13.80587100982666,29.697734832763672
2005-07,6.842135906219482,34.64631652832031,20.817710876464844,19.20417022705078,13.146129608154297,34.234161376953125,34.20264434814453,316.09521484375,19.130760192871094,22.637737274169922,1.3023754358291626,48.99116134643555,12.779410362243652,39.337154388427734,33.254432678222656,12.378536224365234,22.946691513061523,5.403171062469482,13.838501930236816,28.571617126464844
2005-08,6.351592540740967,35.66175079345703,20.452348709106445,19.992794036865234,13.218230247497559,34.435062408447266,31.258676528930664,318.0572509765625,18.752323150634766,21.83247947692871,1.4318498373031616,47.43791580200195,12.375590324401855,39.1878776550293,34.07154846191406,13.711932182312012,22.622577667236328,5.321404933929443,13.223994255065918,30.116243362426758
2005-09,6.28151273727417,37.75685501098633,19.59170913696289,20.63355255126953,13.057519912719727,35.77128601074219,30.466087341308594,330.773681640625,18.422056198120117,21.858238220214844,1.6370543241500854,47.20254898071289,12.12788200378418,39.119869232177734,36.141998291015625,14.696992874145508,23.413467407226562,5.297097206115723,13.21590805053711,35.97932434082031
2005-10,5.36635160446167,33.95112991333008,19.786571502685547,19.469099044799805,12.93356704711914,37.2662239074707,32.892539978027344,332.6629333496094,18.934751510620117,23.828624725341797,1.7585889101028442,48.17930221557617,10.55908203125,38.711856842041016,31.932830810546875,12.8270845413208,21.94260597229004,5.366358757019043,12.901023864746094,32.49351501464844
2005-11,5.243802070617676,37.30168914794922,20.241247177124023,21.28318214416504,12.991382598876953,37.3419303894043,33.76160430908203,356.2323913574219,19.941396713256836,24.889272689819336,2.0709753036499023,52.43540573120117,10.38540267944336,38.37394714355469,33.17637634277344,12.714873313903809,22.23804473876953,5.604864120483398,13.093449592590332,35.25235366821289
2005-12,4.979354381561279,37.29523849487305,19.668682098388672,21.201438903808594,12.267105102539062,37.4292106628418,32.63690185546875,356.0857238769531,19.9350528717041,25.826282501220703,2.195258378982544,48.48357009887695,11.423948287963867,37.34858322143555,32.112979888916016,13.07515811920166,22.623815536499023,5.510363578796387,12.331924438476562,40.816917419433594
2006-01,5.599003791809082,44.009735107421875,20.76822280883789,22.01251983642578,12.592721939086914,36.22550582885742,32.15571594238281,341.7776184082031,19.785932540893555,26.08601188659668,2.305800199508667,47.952720642089844,12.58006477355957,35.757686614990234,35.874847412109375,16.484952926635742,22.95586585998535,5.943904876708984,13.13056468963623,47.23757553100586
2006-02,5.2009382247924805,47.367164611816406,22.967309951782227,21.949657440185547,12.7722749710083,37.44822311401367,31.632701873779297,343.873779296875,20.541015625,26.998193740844727,2.0914347171783447,47.446353912353516,12.953364372253418,36.028968811035156,34.12278747558594,15.214784622192383,22.68185806274414,6.319550514221191,13.976630210876465,40.45003128051758
