Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,44.700001,45.178001,44.490002,44.984001,40.37817,2211000
2014-01-31,41.119999,42.049999,41.119999,41.757999,37.482456,4142000
2014-02-28,41.854,42.344002,41.537998,41.768002,37.491451,3740000
2014-03-31,39.335999,40.222,39.276001,39.566002,35.625629,9161500
2014-04-30,40.716,40.987999,40.321999,40.888,36.815971,3212000
2014-05-30,39.0,39.514,38.914001,39.279999,35.368103,4207500
2014-06-30,37.661999,38.021999,37.608002,37.779999,34.135303,4153000
2014-07-31,39.066002,39.245998,38.431999,38.444,34.735256,4440500
2014-08-29,37.818001,38.0,37.694,37.799999,34.153385,2873000
2014-09-30,39.138,39.237999,38.82,39.009998,35.36742,2783000
2014-10-31,40.914001,41.66,40.914001,41.658001,37.768166,3601500
2014-11-28,44.389999,45.332001,44.074001,45.198002,40.977612,2720000
2014-12-31,44.422001,44.551998,43.858002,43.858002,39.877712,1710000
2015-01-30,40.650002,41.792,40.557999,41.146,37.411839,5097500
2015-02-27,47.633999,47.824001,47.048,47.071999,42.800041,2566500
2015-03-31,46.683998,46.860001,46.396,46.653999,42.53978,3282500
2015-04-30,44.75,45.405998,44.43,44.905998,40.94593,2640500
2015-05-29,47.268002,47.683998,46.827999,47.355999,43.179871,4178500
2015-06-30,44.714001,44.995998,44.382,44.722,40.90493,3649000
2015-07-31,45.77,45.773998,45.382,45.608002,41.715313,2169500
2015-08-31,46.52,46.52,45.664001,45.681999,41.782993,3281500
2015-09-30,45.832001,47.063999,45.700001,46.998001,43.123592,3125500
2015-10-30,52.307999,52.436001,50.394001,50.48,46.318542,5180000
2015-11-30,52.048,52.362,51.667999,51.967999,47.683868,2424500
2015-12-31,51.098,51.799999,50.549999,51.251999,47.171921,13121500
2016-01-29,51.332001,52.806,50.942001,52.759998,48.559872,9450000
2016-02-29,47.785999,48.16,47.099998,47.692001,43.895329,3543000
2016-03-31,46.396,47.183998,46.242001,47.028,43.440655,5883000
2016-04-29,47.896,48.155998,47.632,48.006001,44.344044,3020500
2016-05-31,54.240002,54.389999,53.880001,54.223999,50.087734,3266500
2016-06-30,50.602001,51.349998,50.321999,51.192001,47.441788,4280000
2016-07-29,52.970001,53.228001,52.807999,52.84,48.969063,1873500
2016-08-31,55.854,56.43,55.748001,56.403999,52.271957,3154500
2016-09-30,53.970001,54.212002,53.799999,53.872002,50.07658,3410500
2016-10-31,53.653999,54.41,53.292,54.077999,50.268074,4055000
2016-11-30,55.32,55.860001,55.259998,55.400002,51.496929,5473600
2016-12-30,56.700001,56.900002,56.240002,56.419998,52.595108,1844400
2017-01-31,57.990002,58.389999,57.82,58.360001,54.403591,2458400
2017-02-28,57.48,57.639999,56.970001,57.130001,53.256981,3392400
2017-03-31,59.740002,60.310001,59.599998,59.869999,55.996647,2099500
2017-04-28,60.209999,60.66,60.029999,60.200001,56.305294,2961100
2017-05-31,60.860001,60.860001,59.91,60.189999,56.29594,2710500
2017-06-30,65.910004,66.25,65.709999,65.919998,61.847126,2373400
2017-07-31,66.279999,66.910004,66.120003,66.709999,62.588333,2077300
2017-08-31,64.989998,65.0,64.540001,64.669998,60.674355,1748100
2017-09-29,68.410004,68.879997,68.410004,68.699997,64.845993,1897000
2017-10-31,65.190002,66.160004,65.150002,66.099998,62.391861,5587300
2017-11-30,70.0,71.800003,69.879997,71.449997,67.441734,5235000
2017-12-29,70.870003,71.169998,70.470001,70.559998,66.978455,1865300
2018-01-31,73.550003,74.589996,73.370003,73.839996,70.091942,3423600
2018-02-28,73.690002,74.339996,73.050003,73.080002,69.370537,2088500
2018-03-29,71.720001,72.889999,71.080002,72.519997,69.059776,3491100
2018-04-30,72.900002,73.769997,72.449997,72.459999,69.002632,1722700
2018-05-31,71.5,71.940002,70.870003,70.889999,67.507545,3568000
2018-06-29,74.339996,74.5,73.540001,73.550003,70.264168,3021200
2018-07-31,74.769997,74.959999,73.199997,73.910004,70.608086,3340800
2018-08-31,75.529999,76.309998,75.410004,76.230003,72.82444,1980200
2018-09-28,75.0,75.290001,74.660004,74.889999,71.764809,4184100
2018-10-31,74.010002,77.379997,73.279999,77.040001,73.825096,7718500
2018-11-30,81.089996,81.830002,81.0,81.720001,78.309792,4717700
2018-12-31,74.720001,75.330002,74.440002,75.330002,72.409248,1728900
2019-01-31,75.809998,76.889999,75.720001,76.760002,73.783798,2554500
2019-02-28,76.269997,77.470001,76.269997,77.150002,74.158669,4001400
2019-03-29,75.260002,76.199997,75.169998,76.139999,73.46064,4317200
2019-04-30,81.650002,81.989998,81.300003,81.349998,78.487312,3095700
2019-05-31,81.879997,82.410004,81.779999,82.209999,79.317039,2540700
2019-06-28,85.510002,85.940002,85.25,85.940002,83.183395,3252900
2019-07-31,87.959999,88.480003,87.370003,87.860001,85.041817,2533300
2019-08-30,93.5,93.769997,92.68,93.480003,90.481544,1473600
2019-09-30,92.730003,92.940002,91.93,92.269997,89.583176,2087300
2019-10-31,93.849998,95.139999,92.75,94.32,91.573479,3281200
2019-11-29,93.139999,94.510002,93.139999,94.169998,91.427849,1259200
2019-12-31,92.400002,92.830002,91.709999,92.550003,90.12822,2358100
2020-01-31,99.860001,100.43,99.389999,99.739998,97.130089,2067900
2020-02-28,90.660004,92.639999,87.419998,89.220001,86.885361,7199900
2020-03-31,82.550003,82.959999,80.290001,80.75,78.921837,3815600
2020-04-30,90.040001,91.849998,89.029999,89.449997,87.424881,3764200
2020-05-29,94.919998,97.370003,94.540001,97.25,95.048294,3405600
2020-06-30,90.309998,91.860001,90.309998,91.599998,89.815132,5300800
2020-07-31,94.720001,96.830002,93.910004,96.779999,94.894188,3423700
2020-08-31,105.75,106.629997,105.459999,106.230003,104.160049,2321500
2020-09-30,99.540001,101.150002,99.169998,100.050003,98.39431,2344600
2020-10-30,94.949997,95.870003,93.360001,94.400002,92.837807,3520600
2020-11-30,104.970001,105.650002,104.550003,105.510002,103.763954,4146500
2020-12-31,113.239998,115.400002,113.010002,115.290001,113.698776,1474300
2021-01-29,111.57,111.870003,109.220001,110.349998,108.826958,2791300
2021-02-26,112.610001,112.989998,110.139999,110.309998,108.787514,3260400
2021-03-31,110.940002,112.839996,110.940002,111.68,110.453751,2210500
2021-04-30,117.099998,117.709999,115.459999,117.709999,116.417549,3183300
2021-05-28,112.419998,113.139999,112.07,112.879997,111.640579,3193400
2021-06-30,118.660004,118.910004,118.260002,118.699997,117.737976,1750800
2021-07-30,119.730003,121.389999,119.610001,119.830002,118.858818,2381300
2021-08-31,119.550003,119.940002,119.199997,119.529999,118.561249,2399700
2021-09-30,117.220001,117.690002,114.739998,114.82,114.205437,2452500
2021-10-29,135.089996,138.820007,135.050003,138.460007,137.718918,2588800
2021-11-30,130.820007,132.570007,130.279999,130.720001,130.020325,4043600
2021-12-31,136.479996,137.429993,136.479996,136.770004,136.371017,856900
2022-01-31,124.559998,126.889999,124.419998,126.660004,126.290504,3022900
