Date,Open,High,Low,Close,Adj Close,Volume,,,
2013/12/31,184.070007,184.690002,183.929993,184.690002,158.535507,86119900,,,
2014/1/31,177.009995,179.289993,176.919998,178.179993,152.947403,194677900,,,-0.03524828
2014/2/28,185.789993,187.149994,185.050003,186.289993,159.90892,150842000,,,0.045515758
2014/3/31,186.669998,187.300003,185.520004,187.009995,161.235458,99745000,,,0.008295585
2014/4/30,187.440002,188.5,187.179993,188.309998,162.356277,101508000,,,0.006951442
2014/5/30,192.190002,192.800003,192.029999,192.679993,166.124008,76316000,,,0.023206562
2014/6/30,195.699997,196.169998,195.529999,195.720001,169.553619,70201200,,,0.020644885
2014/7/31,195.610001,195.779999,192.970001,193.089996,167.275208,183479000,,,-0.013437702
2014/8/29,200.449997,200.729996,199.820007,200.710007,173.87645,65907000,,,0.039463361
2014/9/30,197.690002,198.300003,196.610001,197.020004,171.477631,131302000,,,-0.013796112
2014/10/31,201.779999,201.820007,200.770004,201.660004,175.516068,146903000,,,0.023550809
2014/11/28,207.490005,207.869995,206.910004,207.199997,180.337799,57890100,,,0.027471736
2014/12/31,207.990005,208.190002,205.389999,205.539993,179.880432,130333800,,,-0.002536168
2015/1/30,200.570007,202.169998,199.130005,199.449997,174.550659,197729700,,,-0.029629532
2015/2/27,211.259995,211.580002,210.600006,210.660004,184.361252,108076000,,,0.056204847
2015/3/31,207.259995,208.100006,206.360001,206.429993,181.465683,126768700,,,-0.015705952
2015/4/30,209.880005,210.350006,207.619995,208.460007,183.250229,161304900,,,0.009834069
2015/5/29,212.380005,212.429993,210.820007,211.139999,185.606125,124919600,,,0.012856169
2015/6/30,207.259995,207.320007,205.279999,205.850006,181.836075,182925100,,,-0.020312099
2015/7/31,211.419998,211.449997,210.160004,210.5,185.943634,103266900,,,0.022589351
2015/8/31,198.110001,199.130005,197.009995,197.669998,174.610321,163298800,,,-0.060950261
2015/9/30,190.369995,191.830002,189.440002,191.630005,170.154968,163452000,,,-0.025515977
